,0,1,2,3,4,5,6,7,8,9,10,11
90,<ANN.ANN object at 0x16B3F710>,0.9091226843760922,<ANN.ANN object at 0x16B3F710>,0.9439589886985902,ANN,adam,relu,constant,5700,0.001,0.0001,"(100, 90)"
91,<ANN.ANN object at 0x16B3F610>,0.894092974484446,<ANN.ANN object at 0x16B3F610>,0.9443085168356052,ANN,adam,relu,constant,5700,0.001,0.0001,"(100, 90, 80, 70)"
92,<ANN.ANN object at 0x16B3F790>,0.9000349528137015,<ANN.ANN object at 0x16B3F790>,0.9422113480135151,ANN,adam,relu,constant,5700,0.001,0.0009,"(100, 90)"
93,<ANN.ANN object at 0x16B3F810>,0.8982873121286263,<ANN.ANN object at 0x16B3F810>,0.9462891762786905,ANN,adam,relu,constant,5700,0.001,0.0009,"(100, 90, 80, 70)"
94,<ANN.ANN object at 0x16B3F910>,0.9126179657462425,<ANN.ANN object at 0x16B3F910>,0.9370849353372946,ANN,adam,relu,constant,5700,0.001,1e-05,"(100, 90)"
95,<ANN.ANN object at 0x16B3F890>,0.9045788185948969,<ANN.ANN object at 0x16B3F890>,0.9451240824886403,ANN,adam,relu,constant,5700,0.001,1e-05,"(100, 90, 80, 70)"
96,<ANN.ANN object at 0x16B3F990>,0.8989863684026564,<ANN.ANN object at 0x16B3F990>,0.9451240824886403,ANN,adam,relu,constant,5700,0.01,0.0001,"(100, 90)"
97,<ANN.ANN object at 0x16B3FA10>,0.9045788185948969,<ANN.ANN object at 0x16B3FA10>,0.9418618198765001,ANN,adam,relu,constant,5700,0.01,0.0001,"(100, 90, 80, 70)"
98,<ANN.ANN object at 0x16B3FB10>,0.9098217406501223,<ANN.ANN object at 0x16B3FB10>,0.94092974484446,ANN,adam,relu,constant,5700,0.01,0.0009,"(100, 90)"
99,<ANN.ANN object at 0x16B3FB90>,0.9203075847605732,<ANN.ANN object at 0x16B3FB90>,0.9234533379937085,ANN,adam,relu,constant,5700,0.01,0.0009,"(100, 90, 80, 70)"
100,<ANN.ANN object at 0x16B3FA90>,0.9028311779098217,<ANN.ANN object at 0x16B3FA90>,0.9459396481416754,ANN,adam,relu,constant,5700,0.01,1e-05,"(100, 90)"
101,<ANN.ANN object at 0x16B3FC10>,0.9080740999650472,<ANN.ANN object at 0x16B3FC10>,0.9429104042875451,ANN,adam,relu,constant,5700,0.01,1e-05,"(100, 90, 80, 70)"
102,<ANN.ANN object at 0x16B3FD10>,0.9196085284865432,<ANN.ANN object at 0x16B3FD10>,0.9239193755097286,ANN,adam,relu,constant,5700,0.0001,0.0001,"(100, 90)"
103,<ANN.ANN object at 0x16B3FC90>,0.906326459279972,<ANN.ANN object at 0x16B3FC90>,0.9426773855295352,ANN,adam,relu,constant,5700,0.0001,0.0001,"(100, 90, 80, 70)"
104,<ANN.ANN object at 0x16B3FD90>,0.917860887801468,<ANN.ANN object at 0x16B3FD90>,0.9275311662588839,ANN,adam,relu,constant,5700,0.0001,0.0009,"(100, 90)"
105,<ANN.ANN object at 0x16B3FE90>,0.9150646627053478,<ANN.ANN object at 0x16B3FE90>,0.9313759757660491,ANN,adam,relu,constant,5700,0.0001,0.0009,"(100, 90, 80, 70)"
