,0,1,2,3,4,5,6,7
64,<LogR.LogR object at 0x10875e6d0>,0.929395316322964,<LogR.LogR object at 0x10875e6d0>,0.9204240941395783,LogR,newton-cg,1,
65,<LogR.LogR object at 0x1030a0610>,0.929395316322964,<LogR.LogR object at 0x1030a0610>,0.9204240941395783,LogR,newton-cg,101,
66,<LogR.LogR object at 0x1090218d0>,0.929395316322964,<LogR.LogR object at 0x1090218d0>,0.9204240941395783,LogR,newton-cg,201,
67,<LogR.LogR object at 0x1090219d0>,0.929395316322964,<LogR.LogR object at 0x1090219d0>,0.9204240941395783,LogR,newton-cg,301,
68,<LogR.LogR object at 0x109021ad0>,0.929395316322964,<LogR.LogR object at 0x109021ad0>,0.9204240941395783,LogR,newton-cg,401,
69,<LogR.LogR object at 0x109021bd0>,0.929395316322964,<LogR.LogR object at 0x109021bd0>,0.9204240941395783,LogR,newton-cg,501,
70,<LogR.LogR object at 0x109021cd0>,0.929395316322964,<LogR.LogR object at 0x109021cd0>,0.9204240941395783,LogR,lbfgs,1,
71,<LogR.LogR object at 0x109021dd0>,0.929395316322964,<LogR.LogR object at 0x109021dd0>,0.9204240941395783,LogR,lbfgs,101,
72,<LogR.LogR object at 0x109021ed0>,0.929395316322964,<LogR.LogR object at 0x109021ed0>,0.9204240941395783,LogR,lbfgs,201,
73,<LogR.LogR object at 0x109021fd0>,0.929395316322964,<LogR.LogR object at 0x109021fd0>,0.9204240941395783,LogR,lbfgs,301,
74,<LogR.LogR object at 0x109021c10>,0.929395316322964,<LogR.LogR object at 0x109021c10>,0.9204240941395783,LogR,lbfgs,401,
75,<LogR.LogR object at 0x109021a10>,0.929395316322964,<LogR.LogR object at 0x109021a10>,0.9204240941395783,LogR,lbfgs,501,
76,<LogR.LogR object at 0x109021810>,0.929395316322964,<LogR.LogR object at 0x109021810>,0.9204240941395783,LogR,liblinear,1,
77,<LogR.LogR object at 0x109021910>,0.929395316322964,<LogR.LogR object at 0x109021910>,0.9204240941395783,LogR,liblinear,101,
78,<LogR.LogR object at 0x109021790>,0.929395316322964,<LogR.LogR object at 0x109021790>,0.9204240941395783,LogR,liblinear,201,
79,<LogR.LogR object at 0x1090217d0>,0.929395316322964,<LogR.LogR object at 0x1090217d0>,0.9204240941395783,LogR,liblinear,301,
80,<LogR.LogR object at 0x1030a0510>,0.929395316322964,<LogR.LogR object at 0x1030a0510>,0.9204240941395783,LogR,liblinear,401,
81,<LogR.LogR object at 0x109037050>,0.929395316322964,<LogR.LogR object at 0x109037050>,0.9204240941395783,LogR,liblinear,501,
82,<LogR.LogR object at 0x1090370d0>,0.929395316322964,<LogR.LogR object at 0x1090370d0>,0.9204240941395783,LogR,sag,1,
83,<LogR.LogR object at 0x109037310>,0.929395316322964,<LogR.LogR object at 0x109037310>,0.9204240941395783,LogR,sag,101,
84,<LogR.LogR object at 0x109037410>,0.929395316322964,<LogR.LogR object at 0x109037410>,0.9204240941395783,LogR,sag,201,
85,<LogR.LogR object at 0x109037ad0>,0.929395316322964,<LogR.LogR object at 0x109037ad0>,0.9204240941395783,LogR,sag,301,
86,<LogR.LogR object at 0x109037bd0>,0.929395316322964,<LogR.LogR object at 0x109037bd0>,0.9204240941395783,LogR,sag,401,
87,<LogR.LogR object at 0x109037cd0>,0.929395316322964,<LogR.LogR object at 0x109037cd0>,0.9204240941395783,LogR,sag,501,
88,<LogR.LogR object at 0x109037dd0>,0.929395316322964,<LogR.LogR object at 0x109037dd0>,0.9204240941395783,LogR,saga,1,
89,<LogR.LogR object at 0x109037ed0>,0.929395316322964,<LogR.LogR object at 0x109037ed0>,0.9204240941395783,LogR,saga,101,
90,<LogR.LogR object at 0x109037fd0>,0.929395316322964,<LogR.LogR object at 0x109037fd0>,0.9204240941395783,LogR,saga,201,
91,<LogR.LogR object at 0x1090371d0>,0.929395316322964,<LogR.LogR object at 0x1090371d0>,0.9204240941395783,LogR,saga,301,
92,<LogR.LogR object at 0x109043210>,0.929395316322964,<LogR.LogR object at 0x109043210>,0.9204240941395783,LogR,saga,401,
93,<LogR.LogR object at 0x109043310>,0.929395316322964,<LogR.LogR object at 0x109043310>,0.9204240941395783,LogR,saga,501,
