,0
114,"['ANN', 'adam', 'relu', 'adaptive', 2800, 0.001, 0.0001, (100, 90, 80, 70)]"
115,"['ANN', 'adam', 'relu', 'adaptive', 2900, 0.001, 0.0001, (100, 90, 80, 70)]"
116,"['ANN', 'adam', 'relu', 'adaptive', 3000, 0.001, 0.0001, (100, 90, 80, 70)]"
117,"['ANN', 'adam', 'relu', 'adaptive', 3100, 0.001, 0.0001, (100, 90, 80, 70)]"
118,"['ANN', 'adam', 'relu', 'adaptive', 3200, 0.001, 0.0001, (100, 90, 80, 70)]"
119,"['ANN', 'adam', 'relu', 'adaptive', 3300, 0.001, 0.0001, (100, 90, 80, 70)]"
120,"['ANN', 'adam', 'relu', 'adaptive', 3400, 0.001, 0.0001, (100, 90, 80, 70)]"
121,"['ANN', 'adam', 'relu', 'adaptive', 3500, 0.001, 0.0001, (100, 90, 80, 70)]"
122,"['ANN', 'adam', 'relu', 'adaptive', 3600, 0.001, 0.0001, (100, 90, 80, 70)]"
123,"['ANN', 'adam', 'relu', 'adaptive', 3700, 0.001, 0.0001, (100, 90, 80, 70)]"
124,"['ANN', 'adam', 'relu', 'adaptive', 3800, 0.001, 0.0001, (100, 90, 80, 70)]"
125,"['ANN', 'adam', 'relu', 'adaptive', 3900, 0.001, 0.0001, (100, 90, 80, 70)]"
126,"['ANN', 'adam', 'relu', 'adaptive', 4000, 0.001, 0.0001, (100, 90, 80, 70)]"
127,"['ANN', 'adam', 'relu', 'adaptive', 4100, 0.001, 0.0001, (100, 90, 80, 70)]"
128,"['ANN', 'adam', 'relu', 'adaptive', 4200, 0.001, 0.0001, (100, 90, 80, 70)]"
129,"['ANN', 'adam', 'relu', 'adaptive', 4300, 0.001, 0.0001, (100, 90, 80, 70)]"
130,"['ANN', 'adam', 'relu', 'adaptive', 4400, 0.001, 0.0001, (100, 90, 80, 70)]"
131,"['ANN', 'adam', 'relu', 'adaptive', 4500, 0.001, 0.0001, (100, 90, 80, 70)]"
132,"['ANN', 'adam', 'relu', 'adaptive', 4600, 0.001, 0.0001, (100, 90, 80, 70)]"
133,"['ANN', 'adam', 'relu', 'adaptive', 4700, 0.001, 0.0001, (100, 90, 80, 70)]"
134,"['ANN', 'adam', 'relu', 'adaptive', 4800, 0.001, 0.0001, (100, 90, 80, 70)]"
135,"['ANN', 'adam', 'relu', 'adaptive', 4900, 0.001, 0.0001, (100, 90, 80, 70)]"
136,"['ANN', 'adam', 'relu', 'adaptive', 5000, 0.001, 0.0001, (100, 90, 80, 70)]"
137,"['ANN', 'adam', 'relu', 'adaptive', 5100, 0.001, 0.0001, (100, 90, 80, 70)]"
138,"['ANN', 'adam', 'relu', 'adaptive', 5200, 0.001, 0.0001, (100, 90, 80, 70)]"
139,"['ANN', 'adam', 'relu', 'adaptive', 5300, 0.001, 0.0001, (100, 90, 80, 70)]"
140,"['ANN', 'adam', 'relu', 'adaptive', 5400, 0.001, 0.0001, (100, 90, 80, 70)]"
141,"['ANN', 'adam', 'relu', 'adaptive', 5500, 0.001, 0.0001, (100, 90, 80, 70)]"
142,"['ANN', 'adam', 'relu', 'adaptive', 5600, 0.001, 0.0001, (100, 90, 80, 70)]"
143,"['ANN', 'adam', 'relu', 'adaptive', 5700, 0.001, 0.0001, (100, 90, 80, 70)]"
144,"['ANN', 'adam', 'relu', 'adaptive', 5800, 0.001, 0.0001, (100, 90, 80, 70)]"
145,"['ANN', 'adam', 'relu', 'adaptive', 5900, 0.001, 0.0001, (100, 90, 80, 70)]"
146,"['ANN', 'adam', 'relu', 'adaptive', 6000, 0.001, 0.0001, (100, 90, 80, 70)]"
147,"['ANN', 'adam', 'relu', 'adaptive', 6100, 0.001, 0.0001, (100, 90, 80, 70)]"
148,"['ANN', 'adam', 'relu', 'adaptive', 6200, 0.001, 0.0001, (100, 90, 80, 70)]"
149,"['ANN', 'adam', 'relu', 'adaptive', 6300, 0.001, 0.0001, (100, 90, 80, 70)]"
150,"['ANN', 'adam', 'relu', 'adaptive', 6400, 0.001, 0.0001, (100, 90, 80, 70)]"
151,"['ANN', 'adam', 'relu', 'adaptive', 6500, 0.001, 0.0001, (100, 90, 80, 70)]"
152,"['ANN', 'adam', 'relu', 'adaptive', 6600, 0.001, 0.0001, (100, 90, 80, 70)]"
153,"['ANN', 'adam', 'relu', 'adaptive', 6700, 0.001, 0.0001, (100, 90, 80, 70)]"
154,"['ANN', 'adam', 'relu', 'adaptive', 6800, 0.001, 0.0001, (100, 90, 80, 70)]"
155,"['ANN', 'adam', 'relu', 'adaptive', 6900, 0.001, 0.0001, (100, 90, 80, 70)]"
156,"['ANN', 'adam', 'relu', 'adaptive', 7000, 0.001, 0.0001, (100, 90, 80, 70)]"
157,"['ANN', 'adam', 'relu', 'adaptive', 7100, 0.001, 0.0001, (100, 90, 80, 70)]"
158,"['ANN', 'adam', 'relu', 'adaptive', 7200, 0.001, 0.0001, (100, 90, 80, 70)]"
159,"['ANN', 'adam', 'relu', 'adaptive', 7300, 0.001, 0.0001, (100, 90, 80, 70)]"
160,"['ANN', 'adam', 'relu', 'adaptive', 7400, 0.001, 0.0001, (100, 90, 80, 70)]"
161,"['ANN', 'adam', 'relu', 'adaptive', 7500, 0.001, 0.0001, (100, 90, 80, 70)]"
162,"['ANN', 'adam', 'relu', 'adaptive', 7600, 0.001, 0.0001, (100, 90, 80, 70)]"
163,"['ANN', 'adam', 'relu', 'adaptive', 7700, 0.001, 0.0001, (100, 90, 80, 70)]"
164,"['ANN', 'adam', 'relu', 'adaptive', 7800, 0.001, 0.0001, (100, 90, 80, 70)]"
